"CODE_WB","COUNTRY","FIRST_YEAR","LAST_YEAR"
"ABW","Aruba",1970,2019
"AFG","Afghanistan",1970,2019
"AGO","Angola",1970,2019
"ALB","Albania",1970,2019
"ARE","United Arab Emirates",1970,2019
"ARG","Argentina",1970,2019
"ARM","Armenia",1990,2019
"ATG","Antigua and Barbuda",1970,2019
"AUS","Australia",1970,2019
"AUT","Austria",1970,2019
"AZE","Azerbaijan",1990,2019
"BDI","Burundi",1970,2019
"BEL","Belgium",1970,2019
"BEN","Benin",1970,2019
"BFA","Burkina Faso",1970,2019
"BGD","Bangladesh",1970,2019
"BGR","Bulgaria",1970,2019
"BHR","Bahrain",1970,2019
"BHS","Bahamas, The",1970,2019
"BIH","Bosnia and Herzegovina",1990,2019
"BLR","Belarus",1990,2019
"BLZ","Belize",1970,2019
"BMU","Bermuda",1970,2019
"BOL","Bolivia",1970,2019
"BRA","Brazil",1970,2019
"BRB","Barbados",1970,2019
"BRN","Brunei Darussalam",1970,2019
"BTN","Bhutan",1970,2019
"BWA","Botswana",1970,2019
"CAF","Central African Republic",1970,2019
"CAN","Canada",1970,2019
"CHE","Switzerland",1970,2019
"CHL","Chile",1970,2019
"CHN","China",1970,2019
"CIV","Cote d'Ivoire",1970,2019
"CMR","Cameroon",1970,2019
"COD","Congo, Dem. Rep.",1970,2019
"COG","Congo, Rep.",1970,2019
"COL","Colombia",1970,2019
"COM","Comoros",1970,2019
"CPV","Cabo Verde",1970,2019
"CRI","Costa Rica",1970,2019
"CYP","Cyprus",1970,2019
"CZE","Czech Republic",1990,2019
"DEU","Germany",1970,2019
"DJI","Djibouti",1970,2019
"DMA","Dominica",1970,2019
"DNK","Denmark",1970,2019
"DOM","Dominican Republic",1970,2019
"DZA","Algeria",1970,2019
"ECU","Ecuador",1970,2019
"EGY","Egypt, Arab Rep.",1970,2019
"ERI","Eritrea",1990,2019
"ESP","Spain",1970,2019
"EST","Estonia",1990,2019
"ETH","Ethiopia",1970,2019
"FIN","Finland",1970,2019
"FJI","Fiji",1970,2019
"FRA","France",1970,2019
"GAB","Gabon",1970,2019
"GBR","United Kingdom",1970,2019
"GEO","Georgia",1990,2019
"GHA","Ghana",1970,2019
"GIN","Guinea",1970,2019
"GMB","Gambia, The",1970,2019
"GNB","Guinea-Bissau",1970,2019
"GNQ","Equatorial Guinea",1970,2019
"GRC","Greece",1970,2019
"GRD","Grenada",1970,2019
"GTM","Guatemala",1970,2019
"GUY","Guyana",1970,2019
"HKG","Hong Kong SAR, China",1970,2019
"HND","Honduras",1970,2019
"HRV","Croatia",1990,2019
"HTI","Haiti",1970,2019
"HUN","Hungary",1970,2019
"IDN","Indonesia",1970,2019
"IND","India",1970,2019
"IRL","Ireland",1970,2019
"IRN","Iran, Islamic Rep.",1970,2019
"IRQ","Iraq",1970,2019
"ISL","Iceland",1970,2019
"ISR","Israel",1970,2019
"ITA","Italy",1970,2019
"JAM","Jamaica",1970,2019
"JOR","Jordan",1970,2019
"JPN","Japan",1970,2019
"KAZ","Kazakhstan",1990,2019
"KEN","Kenya",1970,2019
"KGZ","Kyrgyz Republic",1990,2019
"KHM","Cambodia",1970,2019
"KIR","Kiribati",1970,2019
"KNA","St. Kitts and Nevis",1970,2019
"KOR","Korea, Rep.",1970,2019
"KWT","Kuwait",1970,2019
"LAO","Lao PDR",1970,2019
"LBN","Lebanon",1970,2019
"LBR","Liberia",1970,2019
"LBY","Libya",1970,2019
"LCA","St. Lucia",1970,2019
"LKA","Sri Lanka",1970,2019
"LSO","Lesotho",1970,2019
"LTU","Lithuania",1990,2019
"LUX","Luxembourg",1970,2019
