"CODE_WB","CURRENCY","CURRENCYCODE","CURRENCYCODE_HIST","CURRENCY_FIRST_YEAR","CURRENCY_LAST_YEAR"
"ABW","Aruban Guilder","AWG","AWG",1970,2019
"AFG","Afghani","AFN","AFA",1970,2002
"AFG","Afghani","AFN","AFN",2003,2019
"AGO","Kwanza","AOA","AOA",2000,2019
"AGO","Kwanza","AOA","AOK",1970,1990
"AGO","Kwanza","AOA","AON",1991,1994
"AGO","Kwanza","AOA","AOR",1995,1999
"ALB","Lek","ALL","ALK",1970,1989
"ALB","Lek","ALL","ALL",1990,2019
"ARE","UAE Dirham","AED","AED",1970,2019
"ARG","Argentine Peso","ARS","ARA",1985,1991
"ARG","Argentine Peso","ARS","ARP",1983,1984
"ARG","Argentine Peso","ARS","ARS",1970,2019
"ARM","Armenian Dram","AMD","AMD",1995,2019
"ARM","Armenian Dram","AMD","RUR",1990,1994
"ATG","East Caribbean Dollar","XCD","XCD",1970,2019
"AUS","Australian Dollar","AUD","AUD",1970,2019
"AUT","Euro","EUR","ATS",1970,2001
"AUT","Euro","EUR","EUR",2002,2019
"AZE","Azerbaijanian Manat","AZN","AZM",1993,2005
"AZE","Azerbaijanian Manat","AZN","AZN",2006,2019
"AZE","Azerbaijanian Manat","AZN","RUR",1990,1992
"BDI","Burundi Franc","BIF","BIF",1970,2019
"BEL","Euro","EUR","BEF",1970,1998
"BEL","Euro","EUR","EUR",1999,2019
"BEN","CFA Franc BCEAO","XOF","XOF",1970,2019
"BFA","CFA Franc BCEAO","XOF","XOF",1970,2019
"BGD","Taka","BDT","BDT",1970,2019
"BGR","Bulgarian Lev","BGN","BGL",1970,1999
"BGR","Bulgarian Lev","BGN","BGN",2000,2019
"BHR","Bahraini Dinar","BHD","BHD",1970,2019
"BHS","Bahamian Dollar","BSD","BSD",1970,2019
"BIH","Convertible Marks","BAM","BAD",1990,1998
"BIH","Convertible Marks","BAM","BAM",1999,2019
"BLR","Belarussian Ruble","BYN","BYB",1992,2000
"BLR","Belarussian Ruble","BYN","BYN",2017,2019
"BLR","Belarussian Ruble","BYN","BYR",2001,2016
"BLR","Belarussian Ruble","BYN","RUR",1990,1991
"BLZ","Belize Dollar","BZD","BZD",1970,2019
"BMU","Bermudian Dollar","BMD","BMD",1970,2019
"BOL","Boliviano","BOB","BOB",1987,2019
"BOL","Boliviano","BOB","BOP",1970,1986
"BRA","Brazilian Real","BRL","BRB",1970,1985
"BRA","Brazilian Real","BRL","BRC",1986,1988
"BRA","Brazilian Real","BRL","BRE",1990,1992
"BRA","Brazilian Real","BRL","BRL",1994,2019
"BRA","Brazilian Real","BRL","BRN",1989,1989
"BRA","Brazilian Real","BRL","BRR",1993,1993
